,Date,Location,Demographic_Category,census,Not_Vaccinated,Administered_Dose1,Series_Complete_Yes
220,2021-12-30,55,36,274282.0,62068.0,212214.0,178189.0
221,2021-12-30,37,36,519180.0,63126.0,456054.0,414347.0
222,2021-12-30,56,31,2369517.0,1005681.0,1363836.0,1099808.0
223,2021-12-30,23,31,294730.0,138046.0,156684.0,138091.0
224,2021-12-30,2,15,454474.0,348234.0,106240.0,65724.0
225,2021-12-30,60,15,187691.0,137569.0,50122.0,33994.0
226,2021-12-30,21,11,34970.0,34970.0,0.0,0.0
227,2021-12-30,58,28,1015188.0,402521.0,612667.0,487814.0
228,2021-12-30,10,28,164406.0,64407.0,99999.0,81852.0
229,2021-12-30,19,10,216406.0,76299.0,140107.0,131662.0
230,2021-12-30,37,10,213553.0,63347.0,150206.0,134963.0
231,2021-12-30,26,6,116564.0,-11047.0,127611.0,107532.0
232,2021-12-30,52,6,508542.0,-96344.0,604886.0,477226.0
233,2021-12-30,25,16,277232.0,81638.0,195594.0,172817.0
234,2021-12-30,58,16,717313.0,191465.0,525848.0,444988.0
235,2021-12-30,45,7,76313.0,24635.0,51678.0,44107.0
236,2021-12-30,41,7,10231.0,4088.0,6143.0,5171.0
237,2021-12-30,51,2,204030.0,-9750.0,213780.0,194351.0
238,2021-12-30,12,2,111782.0,-15802.0,127584.0,104103.0
239,2021-12-30,18,6,167392.0,9749.0,157643.0,142653.0
240,2021-12-30,37,6,386775.0,-9123.0,395898.0,360035.0
241,2021-12-30,46,41,49028.0,11223.0,37805.0,31133.0
242,2021-12-30,15,41,183191.0,60655.0,122536.0,112752.0
243,2021-12-30,40,44,8793.0,1218.0,7575.0,6704.0
244,2021-12-30,48,44,239693.0,127023.0,112670.0,95596.0
245,2021-12-30,37,21,534748.0,56539.0,478209.0,436277.0
246,2021-12-30,45,21,65787.0,12526.0,53261.0,46334.0
247,2021-12-30,19,4,105299.0,105299.0,0.0,0.0
248,2021-12-30,7,4,99466.0,99466.0,0.0,0.0
249,2021-12-30,33,9,551093.0,154117.0,396976.0,346302.0
250,2021-12-30,17,9,7257.0,10.0,7247.0,6848.0
251,2021-12-30,31,3,228349.0,-3527.0,231876.0,175007.0
252,2021-12-30,2,3,2078329.0,492389.0,1585940.0,1190600.0
253,2021-12-30,30,45,16654.0,16654.0,0.0,0.0
254,2021-12-30,37,45,103260.0,103260.0,0.0,0.0
255,2021-12-30,34,8,1178.0,49.0,1129.0,1038.0
256,2021-12-30,48,8,325644.0,16348.0,309296.0,273766.0
257,2021-12-30,17,13,,,11.0,0.0
258,2021-12-30,38,13,,,27200.0,15146.0
259,2021-12-30,6,5,97927.0,97927.0,0.0,0.0
260,2021-12-30,17,5,1523.0,1523.0,0.0,0.0
261,2021-12-30,15,29,,,0.0,0.0
262,2021-12-30,13,29,,,134.0,12.0
263,2021-12-30,27,31,6226558.0,1900667.0,4325891.0,3887085.0
264,2021-12-30,51,31,3320360.0,1454731.0,1865629.0,1679593.0
265,2021-12-30,49,30,149429.0,149429.0,0.0,0.0
266,2021-12-30,47,30,219514.0,219514.0,0.0,0.0
267,2021-12-30,39,12,1022535.0,728044.0,294491.0,197800.0
268,2021-12-30,37,12,490474.0,329601.0,160873.0,113188.0
269,2021-12-30,28,14,2046320.0,170142.0,1876178.0,1777679.0
270,2021-12-30,31,14,87343.0,-12665.0,100008.0,82197.0
271,2021-12-30,19,11,66324.0,66324.0,0.0,0.0
272,2021-12-30,4,11,22714.0,22714.0,0.0,0.0
273,2021-12-30,14,6,24394302.0,-629506.0,25023808.0,21857335.0
274,2021-12-30,28,6,902075.0,61034.0,841041.0,792398.0
275,2021-12-30,56,15,215062.0,193940.0,21122.0,9481.0
276,2021-12-30,4,15,96072.0,67919.0,28153.0,17216.0
277,2021-12-30,25,17,184483.0,184483.0,0.0,0.0
278,2021-12-30,10,17,71727.0,71727.0,0.0,0.0
279,2021-12-30,20,18,2062.0,697.0,1365.0,1306.0
280,2021-12-30,16,18,1448220.0,535230.0,912990.0,754702.0
281,2021-12-30,22,11,373048.0,373048.0,0.0,0.0
282,2021-12-30,8,11,451513.0,451513.0,0.0,0.0
283,2021-12-30,29,3,1772094.0,256242.0,1515852.0,1277940.0
284,2021-12-30,3,3,4138656.0,245849.0,3892807.0,3254236.0
285,2021-12-30,51,9,815583.0,278769.0,536814.0,490856.0
286,2021-12-30,50,9,12521.0,3043.0,9478.0,8649.0
287,2021-12-30,58,11,125038.0,125038.0,0.0,0.0
288,2021-12-30,3,13,,,255966.0,183866.0
289,2021-12-30,10,13,,,16445.0,12881.0
290,2021-12-30,4,30,61690.0,61690.0,0.0,0.0
291,2021-12-30,3,30,576910.0,576910.0,0.0,0.0
292,2021-12-30,13,14,1143393.0,98113.0,1045280.0,957414.0
293,2021-12-30,7,14,1017243.0,-16353.0,1033596.0,966065.0
294,2021-12-30,49,2,154528.0,-7704.0,162232.0,136106.0
295,2021-12-30,36,2,78824.0,6977.0,71847.0,65292.0
296,2021-12-30,38,7,187328.0,48254.0,139074.0,124911.0
297,2021-12-30,22,7,3121340.0,818561.0,2302779.0,1967057.0
298,2021-12-30,57,16,579454.0,19046.0,560408.0,484049.0
299,2021-12-30,60,16,191071.0,28083.0,162988.0,150471.0
300,2021-12-30,4,19,333453.0,58842.0,274611.0,225288.0
301,2021-12-30,43,19,980946.0,143726.0,837220.0,725627.0
302,2021-12-30,12,8,188599.0,-30032.0,218631.0,183665.0
303,2021-12-30,21,8,158621.0,2346.0,156275.0,131451.0
304,2021-12-30,35,4,55843.0,55843.0,0.0,0.0
305,2021-12-30,46,4,17959.0,17959.0,0.0,0.0
306,2021-12-30,54,5,41982.0,41982.0,0.0,0.0
307,2021-12-30,48,5,143146.0,143146.0,0.0,0.0
308,2021-12-30,45,33,26310.0,26310.0,0.0,0.0
309,2021-12-30,36,33,90291.0,90291.0,0.0,0.0
310,2021-12-30,12,12,277630.0,170753.0,106877.0,71787.0
311,2021-12-30,10,12,175458.0,149238.0,26220.0,18294.0
312,2021-12-30,13,21,689738.0,151372.0,538366.0,485590.0
313,2021-12-30,40,21,13407.0,-1551.0,14958.0,14078.0
314,2021-12-30,56,10,182573.0,103097.0,79476.0,61916.0
315,2021-12-30,55,10,116989.0,53717.0,63272.0,52398.0
316,2021-12-30,40,31,86731.0,11438.0,75293.0,68421.0
317,2021-12-30,47,31,3617297.0,1212844.0,2404453.0,2091474.0
318,2021-12-30,53,35,124631.0,6019.0,118612.0,106859.0
319,2021-12-30,51,35,636737.0,38905.0,597832.0,559330.0
320,2021-12-30,28,30,353225.0,353225.0,0.0,0.0
321,2021-12-30,20,30,598.0,598.0,0.0,0.0
322,2021-12-30,50,34,1814.0,288.0,1526.0,1429.0
323,2021-12-30,35,34,130193.0,-7255.0,137448.0,121584.0
324,2021-12-30,54,37,997701.0,25503.0,972198.0,880395.0
325,2021-12-30,42,37,255656.0,63600.0,192056.0,173866.0
326,2021-12-30,59,33,4187.0,4187.0,0.0,0.0
327,2021-12-30,32,38,170392.0,10272.0,160120.0,149722.0
328,2021-12-30,54,38,182886.0,5877.0,177009.0,156791.0
329,2021-12-30,12,42,354242.0,-45039.0,399281.0,332215.0
330,2021-12-30,50,42,2644.0,703.0,1941.0,1825.0
331,2021-12-30,30,26,38872.0,29143.0,9729.0,6126.0
332,2021-12-30,33,26,189504.0,156126.0,33378.0,22007.0
333,2021-12-30,26,31,673793.0,168917.0,504876.0,419019.0
334,2021-12-30,22,43,1489201.0,138055.0,1351146.0,1198925.0
335,2021-12-30,55,43,221053.0,16715.0,204338.0,170834.0
336,2021-12-30,11,27,136095.0,-1433.0,137528.0,122423.0
337,2021-12-30,34,27,7639.0,-116.0,7755.0,7129.0
338,2021-12-30,23,39,60212.0,30271.0,29941.0,26141.0
339,2021-12-30,15,39,307963.0,124694.0,183269.0,164493.0
340,2021-12-30,18,1,74197.0,28501.0,45696.0,39236.0
341,2021-12-30,40,1,8754.0,-238.0,8992.0,8022.0
342,2021-12-30,19,45,110336.0,110336.0,0.0,0.0
343,2021-12-30,32,45,72051.0,72051.0,0.0,0.0
344,2021-12-30,41,28,7302.0,3216.0,4086.0,3321.0
345,2021-12-30,16,28,1742768.0,526899.0,1215869.0,1000239.0
346,2021-12-30,41,40,16769.0,5677.0,11092.0,9378.0
347,2021-12-30,42,40,121096.0,31805.0,89291.0,81362.0
348,2021-12-30,57,36,889733.0,6623.0,883110.0,759670.0
349,2021-12-30,39,36,1283670.0,123850.0,1159820.0,968707.0
350,2021-12-30,58,25,656566.0,656566.0,0.0,0.0
351,2021-12-30,57,25,514690.0,514690.0,0.0,0.0
352,2021-12-30,27,44,501874.0,180646.0,321228.0,289957.0
353,2021-12-30,21,44,119596.0,50653.0,68943.0,52673.0
354,2021-12-30,32,32,44730.0,44730.0,0.0,0.0
355,2021-12-30,39,32,139298.0,139298.0,0.0,0.0
356,2021-12-30,22,29,,,18.0,0.0
357,2021-12-30,42,29,,,0.0,0.0
358,2021-12-30,30,1,40925.0,8672.0,32253.0,26148.0
359,2021-12-30,51,1,321657.0,132042.0,189615.0,166208.0
360,2021-12-30,38,34,85495.0,20.0,85475.0,79651.0
361,2021-12-30,21,34,144742.0,-345.0,145087.0,120605.0
362,2021-12-30,5,40,227333.0,22445.0,204888.0,183800.0
363,2021-12-30,20,40,3036.0,-761.0,3797.0,3144.0
364,2021-12-30,54,29,,,41.0,32.0
365,2021-12-30,1,29,,,0.0,0.0
366,2021-12-30,50,37,36573.0,11479.0,25094.0,22472.0
367,2021-12-30,30,37,298866.0,61876.0,236990.0,195842.0
368,2021-12-30,14,32,3925376.0,3925376.0,0.0,0.0
369,2021-12-30,40,32,3245.0,3245.0,0.0,0.0
370,2021-12-30,10,44,80187.0,47763.0,32424.0,28837.0
371,2021-12-30,5,44,48834.0,6319.0,42515.0,38586.0
372,2021-12-30,3,43,1436224.0,44507.0,1391717.0,1200065.0
373,2021-12-30,13,43,461997.0,44657.0,417340.0,382075.0
374,2021-12-30,10,45,36416.0,36416.0,0.0,0.0
375,2021-12-30,2,45,189436.0,189436.0,0.0,0.0
376,2021-12-30,54,36,295015.0,-8704.0,303719.0,276439.0
377,2021-12-30,28,36,1138713.0,303419.0,835294.0,784151.0
378,2021-12-30,44,28,945523.0,408132.0,537391.0,467245.0
379,2021-12-30,50,28,13093.0,3954.0,9139.0,7854.0
380,2021-12-30,49,26,214806.0,180937.0,33869.0,20316.0
381,2021-12-30,12,26,136014.0,83342.0,52672.0,35413.0
382,2021-12-30,19,42,501177.0,7318.0,493859.0,470562.0
383,2021-12-30,14,42,30397724.0,437381.0,29960343.0,26479056.0
384,2021-12-30,55,35,302829.0,15445.0,287384.0,244489.0
385,2021-12-30,40,35,10926.0,-1151.0,12077.0,11393.0
